wavelength,absorbance,bonds,,,absorbance,
1184.290238,0.002187,aliphatic C-H,,,0.004687,0.002187
1186.219049,0.001824,aliphatic C-H,,,0.004324,0.001824
1188.147861,0.001541,aliphatic C-H,,,0.004041,0.001541
1190.076672,0.001388,aliphatic C-H,,,0.003888,0.001388
1192.005484,0.001304,aliphatic C-H,,,0.003804,0.001304
1193.934295,0.001261,aliphatic C-H,,,0.003761,0.001261
1195.863107,0.001242,aliphatic C-H,,,0.003742,0.001242
1197.791918,0.001203,aliphatic C-H,,,0.003703,0.001203
1199.72073,0.001137,aliphatic C-H,,,0.003637,0.001137
1201.649541,0.001046,aliphatic C-H,,,0.003546,0.001046
1203.578353,0.000918,aliphatic C-H,,,0.003418,0.000918
1205.507164,0.000776,aliphatic C-H,,,0.003276,0.000776
1207.435975,0.000661,aliphatic C-H,,,0.003161,0.000661
1209.364787,0.000607,aliphatic C-H,,,0.003107,0.000607
1211.293598,0.000603,aliphatic C-H,,,0.003103,0.000603
1213.22241,0.000598,aliphatic C-H,,,0.003098,0.000598
1215.151221,0.000548,aliphatic C-H,,,0.003048,0.000548
1217.080033,0.000492,aliphatic C-H,,,0.002992,0.000492
1219.008844,0.000495,aliphatic C-H,,,0.002995,0.000495
1220.937656,0.000529,aliphatic C-H,,,0.003029,0.000529
1222.866467,0.000563,aliphatic C-H,,,0.003063,0.000563
1224.795279,0.000601,aliphatic C-H,,,0.003101,0.000601
1226.72409,0.000605,aliphatic C-H,,,0.003105,0.000605
1228.652902,0.000591,aliphatic C-H,,,0.003091,0.000591
1230.581713,0.000587,aliphatic C-H,,,0.003087,0.000587
1232.510524,0.000615,aliphatic C-H,,,0.003115,0.000615
1234.439336,0.000675,aliphatic C-H,,,0.003175,0.000675
1236.368147,0.000695,aliphatic C-H,,,0.003195,0.000695
1238.296959,0.000702,aliphatic C-H,,,0.003202,0.000702
1240.22577,0.000745,aliphatic C-H,,,0.003245,0.000745
1242.154582,0.000762,aliphatic C-H,,,0.003262,0.000762
1244.083393,0.00077,aliphatic C-H,,,0.00327,0.00077
1246.012205,0.000777,aliphatic C-H,,,0.003277,0.000777
1247.941016,0.000756,aliphatic C-H,,,0.003256,0.000756
1249.869828,0.000733,aliphatic C-H,,,0.003233,0.000733
1251.798639,0.000706,aliphatic C-H,,,0.003206,0.000706
1253.727451,0.000676,aliphatic C-H,,,0.003176,0.000676
1255.656262,0.000646,aliphatic C-H,,,0.003146,0.000646
1257.585073,0.000599,aliphatic C-H,,,0.003099,0.000599
1259.513885,0.000562,aliphatic C-H,,,0.003062,0.000562
1261.442696,0.000556,aliphatic C-H,,,0.003056,0.000556
1263.371508,0.000563,aliphatic C-H,,,0.003063,0.000563
1265.300319,0.000553,aliphatic C-H,,,0.003053,0.000553
1267.229131,0.000542,aliphatic C-H,,,0.003042,0.000542
1269.157942,0.000558,aliphatic C-H,,,0.003058,0.000558
1271.086754,0.000575,aliphatic C-H,,,0.003075,0.000575
1273.015565,0.000611,aliphatic C-H,,,0.003111,0.000611
1274.944377,0.000706,aliphatic C-H,,,0.003206,0.000706
1276.873188,0.000824,aliphatic C-H,,,0.003324,0.000824
1278.802,0.000906,aliphatic C-H,,,0.003406,0.000906
1280.730811,0.000947,aliphatic C-H,,,0.003447,0.000947
1282.659622,0.000971,aliphatic C-H,,,0.003471,0.000971
1284.588434,0.000982,aliphatic C-H,,,0.003482,0.000982
1286.517245,0.001015,aliphatic C-H,,,0.003515,0.001015
1288.446057,0.00109,aliphatic C-H,,,0.00359,0.00109
1290.374868,0.001135,aliphatic C-H,,,0.003635,0.001135
1292.30368,0.001143,aliphatic C-H,,,0.003643,0.001143
1294.232491,0.001175,aliphatic C-H,,,0.003675,0.001175
1296.161303,0.001231,aliphatic C-H,,,0.003731,0.001231
1298.090114,0.001277,aliphatic C-H,,,0.003777,0.001277
1300.018926,0.001328,aliphatic C-H,,,0.003828,0.001328
1301.947737,0.001457,aliphatic C-H,,,0.003957,0.001457
1303.876549,0.001609,aliphatic C-H,,,0.004109,0.001609
1305.80536,0.001673,aliphatic C-H,,,0.004173,0.001673
1307.734172,0.001722,aliphatic C-H,,,0.004222,0.001722
1309.662983,0.001811,aliphatic C-H,,,0.004311,0.001811
1311.591794,0.001846,aliphatic C-H,,,0.004346,0.001846
1313.520606,0.001814,aliphatic C-H,,,0.004314,0.001814
1315.449417,0.001765,aliphatic C-H,,,0.004265,0.001765
1317.378229,0.001692,aliphatic C-H,,,0.004192,0.001692
1319.30704,0.001641,aliphatic C-H,,,0.004141,0.001641
1321.235852,0.001678,aliphatic C-H,,,0.004178,0.001678
1323.164663,0.001768,aliphatic C-H,,,0.004268,0.001768
1325.093475,0.001878,aliphatic C-H,,,0.004378,0.001878
1327.022286,0.001979,aliphatic C-H,,,0.004479,0.001979
1328.951098,0.002004,aliphatic C-H,,,0.004504,0.002004
1330.879909,0.001929,aliphatic C-H,,,0.004429,0.001929
1332.808721,0.001785,aliphatic C-H,,,0.004285,0.001785
1334.737532,0.001634,aliphatic C-H,,,0.004134,0.001634
1336.666343,0.001524,aliphatic C-H,,,0.004024,0.001524
1338.595155,0.001478,aliphatic C-H,,,0.003978,0.001478
1340.523966,0.001518,aliphatic C-H,,,0.004018,0.001518
1342.452778,0.00162,aliphatic C-H,,,0.00412,0.00162
1344.381589,0.001729,aliphatic C-H,,,0.004229,0.001729
1346.310401,0.001837,aliphatic C-H,,,0.004337,0.001837
1348.239212,0.001921,aliphatic C-H,,,0.004421,0.001921
1350.168024,0.001936,aliphatic C-H,,,0.004436,0.001936
1352.096835,0.001924,aliphatic C-H,,,0.004424,0.001924
1354.025647,0.001946,aliphatic C-H,,,0.004446,0.001946
1355.954458,0.002012,aliphatic C-H,,,0.004512,0.002012
1357.88327,0.002099,aliphatic C-H,,,0.004599,0.002099
1359.812081,0.002188,aliphatic C-H,,,0.004688,0.002188
1361.740892,0.002288,aliphatic C-H,,,0.004788,0.002288
1363.669704,0.002371,aliphatic C-H,,,0.004871,0.002371
1365.598515,0.002435,aliphatic C-H,,,0.004935,0.002435
1367.527327,0.002515,aliphatic C-H,,,0.005015,0.002515
1369.456138,0.002574,aliphatic C-H,,,0.005074,0.002574
1371.38495,0.002593,aliphatic C-H,,,0.005093,0.002593
1373.313761,0.00259,aliphatic C-H,,,0.00509,0.00259
1375.242573,0.002523,aliphatic C-H,,,0.005023,0.002523
1377.171384,0.002379,aliphatic C-H,,,0.004879,0.002379
1379.100196,0.002214,aliphatic C-H,,,0.004714,0.002214
1381.029007,0.002071,aliphatic C-H,,,0.004571,0.002071
1382.957819,0.001919,aliphatic C-H,,,0.004419,0.001919
1384.88663,0.001699,aliphatic C-H,,,0.004199,0.001699
1386.815441,0.00144,aliphatic C-H,,,0.00394,0.00144
1388.744253,0.001181,aliphatic C-H,,,0.003681,0.001181
1390.673064,0.000909,aliphatic C-H,,,0.003409,0.000909
1392.601876,0.000666,aliphatic C-H,,,0.003166,0.000666
1394.530687,0.000497,aliphatic C-H,,,0.002997,0.000497
1396.459499,0.000394,aliphatic C-H,,,0.002894,0.000394
1398.38831,0.000341,aliphatic C-H,,,0.002841,0.000341
1400.317122,0.000332,aliphatic C-H,,,0.002832,0.000332
1402.245933,0.000347,aliphatic C-H,,,0.002847,0.000347
1404.174745,0.000369,aliphatic C-H,,,0.002869,0.000369
1406.103556,0.000386,aliphatic C-H,,,0.002886,0.000386
1408.032368,0.000416,aliphatic C-H,,,0.002916,0.000416
1409.961179,0.000464,aliphatic C-H,,,0.002964,0.000464
1411.88999,0.000479,aliphatic C-H,,,0.002979,0.000479
1413.818802,0.000504,aliphatic C-H,,,0.003004,0.000504
1415.747613,0.000561,aliphatic C-H,,,0.003061,0.000561
1417.676425,0.000589,aliphatic C-H,,,0.003089,0.000589
1419.605236,0.000626,aliphatic C-H,,,0.003126,0.000626
1421.534048,0.000668,aliphatic C-H,,,0.003168,0.000668
1423.462859,0.000712,aliphatic C-H,,,0.003212,0.000712
1425.391671,0.000807,aliphatic C-H,,,0.003307,0.000807
1427.320482,0.000931,aliphatic C-H,,,0.003431,0.000931
1429.249294,0.001093,aliphatic C-H,,,0.003593,0.001093
1431.178105,0.001355,aliphatic C-H,,,0.003855,0.001355
1433.106917,0.001736,aliphatic C-H,,,0.004236,0.001736
1435.035728,0.002282,aliphatic C-H,,,0.004782,0.002282
1436.964539,0.003051,aliphatic C-H,,,0.005551,0.003051
1438.893351,0.003955,aliphatic C-H,,,0.006455,0.003955
1440.822162,0.004976,aliphatic C-H,,,0.007476,0.004976
1442.750974,0.006257,aliphatic C-H,,,0.008757,0.006257
1444.679785,0.007933,aliphatic C-H,,,0.010433,0.007933
1446.608597,0.009904,aliphatic C-H,,,0.012404,0.009904
1448.537408,0.012581,aliphatic C-H,,,0.015081,0.012581
1450.46622,0.016897,aliphatic C-H,,,0.019397,0.016897
1452.395031,0.019716,aliphatic C-H,,,0.022216,0.019716
1454.323843,0.016328,aliphatic C-H,,,0.018828,0.016328
1456.252654,0.009469,aliphatic C-H,,,0.011969,0.009469
