wavelength,absorbance,bonds,,,,,,,
1548.835604,0.001088,aromatic,,,,,,,
1550.764416,0.001104,aromatic,,,,,,,
1552.693227,0.001147,aromatic,,,,,,,
1554.622039,0.001187,aromatic,,,,,,,
1556.55085,0.00124,aromatic,,,,,,,
1558.479662,0.001316,aromatic,,,,,,,
1560.408473,0.001337,aromatic,,,,,,,
1562.337285,0.001382,aromatic,,,,,,,
1564.266096,0.001516,aromatic,,,,,,,
1566.194907,0.001676,aromatic,,,,,,,
1568.123719,0.001912,aromatic,,,,,,,
1570.05253,0.002289,aromatic,,,,,,,
1571.981342,0.002799,aromatic,,,,,,,
1573.910153,0.003542,aromatic,,,,,,,
1575.838965,0.004491,aromatic,,,,,,,
1577.767776,0.00515,aromatic,,,,,,,
1579.696588,0.00501,aromatic,,,,,,,
1581.625399,0.004106,aromatic,,,,,,,
1583.554211,0.002983,aromatic,,,,,,,
1585.483022,0.002148,aromatic,,,,,,,
1587.411834,0.001696,aromatic,,,,,,,
1589.340645,0.001489,aromatic,,,,,,,
1591.269456,0.001355,aromatic,,,,,,,
1593.198268,0.001254,aromatic,,,,,,,
1595.127079,0.0012,aromatic,,,,,,,
1597.055891,0.001187,aromatic,,,,,,,
1598.984702,0.001266,aromatic,,,,,,,
1600.913514,0.001398,aromatic,,,,,,,
1602.842325,0.001525,aromatic,,,,,,,
1604.771137,0.001695,aromatic,,,,,,,
1606.699948,0.001943,aromatic,,,,,,,
1608.62876,0.002253,aromatic,,,,,,,
1610.557571,0.002562,aromatic,,,,,,,
1612.486383,0.002796,aromatic,,,,,,,
1614.415194,0.002859,aromatic,,,,,,,
1616.344005,0.002652,aromatic,,,,,,,
1618.272817,0.002299,aromatic,,,,,,,
1620.201628,0.002047,aromatic,,,,,,,
1622.13044,0.001919,,,,,,,,
1624.059251,0.001838,,,,,,,,
1625.988063,0.001826,,,,,,,,
1627.916874,0.00189,,,,,,,,
1629.845686,0.001907,,,,,,,,
1631.774497,0.001869,,,,,,,,
1633.703309,0.001898,,,,,,,,
1635.63212,0.001931,,,,,,,,
1637.560932,0.001902,,,,,,,,
1639.489743,0.001911,,,,,,,,
1641.418555,0.001933,,,,,,,,
1643.347366,0.001943,,,,,,,,
1645.276177,0.00202,,,,,,,,
1647.204989,0.002096,,,,,,,,
1649.1338,0.002111,C=O,,,,,,,
1651.062612,0.002175,C=O,,,,,,,
1652.991423,0.002296,C=O,,,,,,,
1654.920235,0.002375,C=O,,,,,,,
1656.849046,0.002444,C=O,,,,,,,
1658.777858,0.002573,C=O,,,,,,,
1660.706669,0.002766,C=O,,,,,,,
1662.635481,0.003009,C=O,,,,,,,
1664.564292,0.003266,C=O,,,,,,,
1666.493104,0.003541,C=O,,,,,,,
1668.421915,0.003872,C=O,,,,,,,
1670.350726,0.004229,C=O,,,,,,,
1672.279538,0.004602,C=O,,,,,,,
1674.208349,0.005024,C=O,,,,,,,
1676.137161,0.0055,C=O,,,,,,,
1678.065972,0.00601,C=O,,,,,,,
1679.994784,0.006536,C=O,,,,,,,
1681.923595,0.007082,C=O,,,,,,,
1683.852407,0.007596,C=O,,,,,,,
1685.781218,0.007994,C=O,,,,,,,
1687.71003,0.008317,C=O,,,,,,,
1689.638841,0.008715,C=O,,,,,,,
1691.567653,0.009276,C=O,,,,,,,
1693.496464,0.010065,C=O,,,,,,,
1695.425275,0.011234,C=O,,,,,,,
1697.354087,0.01286,C=O,,,,,,,
1699.282898,0.015177,C=O,,,,,,,
1701.21171,0.018626,C=O,,,,,,,
1703.140521,0.023552,C=O,,,,,,,
1705.069333,0.030791,C=O,,,,,,,
1706.998144,0.041511,C=O,,,,,,,
1708.926956,0.056666,C=O,,,,,,,
1710.855767,0.076665,C=O,,,,,,,
1712.784579,0.099873,C=O,,,,,,,
1714.71339,0.122202,C=O,,,,,,,
1716.642202,0.138862,C=O,,,,,,,
1718.571013,0.147062,C=O,,,,,,,
1720.499824,0.147147,C=O,,,,,,,
1722.428636,0.141069,C=O,,,,,,,
1724.357447,0.130989,C=O,,,,,,,
1726.286259,0.118901,C=O,,,,,,,
1728.21507,0.106016,C=O,,,,,,,
1730.143882,0.092992,C=O,,,,,,,
1732.072693,0.08039,C=O,,,,,,,
1734.001505,0.068035,C=O,,,,,,,
1735.930316,0.056318,C=O,,,,,,,
1737.859128,0.045686,C=O,,,,,,,
1739.787939,0.035953,C=O,,,,,,,
1741.716751,0.02761,C=O,,,,,,,
1743.645562,0.020957,C=O,,,,,,,
1745.574373,0.015854,C=O,,,,,,,
1747.503185,0.012182,C=O,,,,,,,
1749.431996,0.009622,C=O,,,,,,,
1751.360808,0.007833,C=O,,,,,,,
1753.289619,0.006545,C=O,,,,,,,
1755.218431,0.005614,C=O,,,,,,,
1757.147242,0.00491,C=O,,,,,,,
1759.076054,0.004353,C=O,,,,,,,
1761.004865,0.003937,C=O,,,,,,,
1762.933677,0.003599,C=O,,,,,,,
1764.862488,0.003323,C=O,,,,,,,
1766.7913,0.003109,C=O,,,,,,,
1768.720111,0.002911,C=O,,,,,,,
1770.648922,0.002743,C=O,,,,,,,
1772.577734,0.002619,C=O,,,,,,,
1774.506545,0.002495,C=O,,,,,,,
1776.435357,0.002397,C=O,,,,,,,
1778.364168,0.002327,C=O,,,,,,,
1780.29298,0.00222,C=O,,,,,,,
1782.221791,0.002103,C=O,,,,,,,
1784.150603,0.002007,C=O,,,,,,,
1786.079414,0.001931,C=O,,,,,,,
1788.008226,0.001847,C=O,,,,,,,
1789.937037,0.001742,C=O,,,,,,,
1791.865849,0.001694,C=O,,,,,,,
1793.79466,0.001661,C=O,,,,,,,
1795.723471,0.001561,C=O,,,,,,,
1797.652283,0.001456,C=O,,,,,,,
